target_id,planet_name,hostname,source_mission,campaign_quarter,ra_deg,dec_deg,disposition,discovery_method,discovery_year,discovery_facility,stellar_teff_k,stellar_radius_rsun,stellar_mass_msun,stellar_metallicity,stellar_logg,planet_period_days_measured,planet_radius_rearth,planet_mass_mearth,planet_mass_mjup,planet_orbital_eccentricity,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
EPIC_201324549,EPIC 201324549.01,EPIC 201324549,K2,16,171.2359519,-2.0851597,FALSE POSITIVE,Transit,2016.0,K2,6380.0,1.76277,,-0.67,,2.51881781,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201324549,EPIC 201324549.01,EPIC 201324549,K2,16,171.2359519,-2.0851597,FALSE POSITIVE,Transit,2016.0,K2,7119.0,1.72,,,,2.5194078,7.99,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201352100,EPIC 201352100.01,EPIC 201352100,K2,4,184.0351247,-1.6737612,CANDIDATE,Transit,2018.0,K2,5216.0,0.815235,,0.16,4.7,13.383629,2.87289326,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201352100,EPIC 201352100.01,EPIC 201352100,K2,14,184.0351247,-1.6737612,CANDIDATE,Transit,2018.0,K2,5113.71,0.65973,0.86,0.192,4.73383,13.38382,2.7,,,,,608.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201357835,EPIC 201357835.01,EPIC 201357835,K2,15,185.1812113,-1.5883337,CANDIDATE,Transit,2019.0,K2,5040.0,0.68,,,,11.8951,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201359834,EPIC 201359834.01,EPIC 201359834,K2,16,173.1750869,-1.5587834,CANDIDATE,Transit,2019.0,K2,,0.716,,,,40.1401,20.8,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201366540,EPIC 201366540.01,EPIC 201366540,K2,7,168.7367646,-1.4622181,CANDIDATE,Transit,2019.0,K2,,0.724,,,,7.4433,2.73,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201390927,EPIC 201390927.01,EPIC 201390927,K2,7,184.5853275,-1.0989451,CANDIDATE,Transit,2018.0,K2,4264.47,,,0.0784,,2.638,2.91,,,,,1313.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201392505,EPIC 201392505.01,EPIC 201392505,K2,17,183.188479,-1.0748315,CANDIDATE,Transit,2018.0,K2,4947.03,0.749863,0.81,-0.2022,4.59659,27.47083,3.36,,,,,480.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201407812,EPIC 201407812.01,EPIC 201407812,K2,5,174.0440867,-0.8407078,CANDIDATE,Transit,2016.0,K2,5736.0,0.98,,,,2.8268121,40.1,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201427007,EPIC 201427007 b,EPIC 201427007,K2,1,184.6021322,-0.5512886,CONFIRMED,Transit,2021.0,K2,5633.0,0.94,,-0.053,4.4,0.72091,1.5,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201441872,EPIC 201441872.01,EPIC 201441872,K2,6,173.6002346,-0.3345702,CANDIDATE,Transit,2016.0,K2,,1.053,,,,4.44044,1.32,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201441872,EPIC 201441872.01,EPIC 201441872,K2,9,173.6002346,-0.3345702,CANDIDATE,Transit,2016.0,K2,5547.0,0.9,,,,4.4416421,1.17,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201441872,EPIC 201441872.01,EPIC 201441872,K2,10,173.6002346,-0.3345702,CANDIDATE,Transit,2016.0,K2,5450.0,0.833852,,-0.13,4.54,4.441258,1.12422498,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201445732,EPIC 201445732.01,EPIC 201445732,K2,6,170.6512345,-0.2798534,CANDIDATE,Transit,2019.0,K2,,1.1,,,,11.20381,2.18,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201456770,EPIC 201456770.01,EPIC 201456770,K2,17,185.6973984,-0.1218824,CANDIDATE,Transit,2021.0,K2,5403.0,0.846,0.904,-0.047,4.538,8.006875,2.384,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
HIP_54766,EPIC 201488365.01,HIP 54766,Kepler,10,168.187478,0.3478732,CANDIDATE,Transit,2016.0,K2,6240.0,1.32,,,,3.3643115,85.6,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201497682,EPIC 201497682 b,EPIC 201497682,K2,3,168.9366786,0.4880606,CONFIRMED,Transit,2019.0,K2,,,0.78,,,2.13174,0.692,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201497682,EPIC 201497682.01,EPIC 201497682,K2,5,168.9366786,0.4880606,CANDIDATE,Transit,2016.0,K2,4535.0,0.7,,,,13.837814,1.96,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
