target_id,planet_name,hostname,source_mission,campaign_quarter,ra_deg,dec_deg,disposition,discovery_method,discovery_year,discovery_facility,stellar_teff_k,stellar_radius_rsun,stellar_mass_msun,stellar_metallicity,stellar_logg,planet_period_days_measured,planet_radius_rearth,planet_mass_mearth,planet_mass_mjup,planet_orbital_eccentricity,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
EPIC_201555883,EPIC 201555883.01,EPIC 201555883,K2,16,176.0758509,1.3759629,FALSE POSITIVE,Transit,2015.0,K2,4419.0,0.52,,-0.98,,,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201556134,EPIC 201556134.01,EPIC 201556134,K2,19,177.9249905,1.3796544,CANDIDATE,Transit,2016.0,K2,4767.0,0.73,,,,12.726743,1.91,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201561956,EPIC 201561956.01,EPIC 201561956,K2,19,177.2334424,1.4654037,CANDIDATE,Transit,2019.0,K2,,0.924,,,,13.2359,2.09,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201563164,EPIC 201563164.01,EPIC 201563164,K2,6,177.1399358,1.483155,CANDIDATE,Transit,2016.0,K2,46696.0,17.27,,,,0.18746328,217.0,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201565013,EPIC 201565013.01,EPIC 201565013,K2,11,176.9920988,1.5102769,CANDIDATE,Transit,2015.0,K2,3720.0,0.5,,,,8.6382631,8.53,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201565013,EPIC 201565013.01,EPIC 201565013,K2,16,176.9920988,1.5102769,CANDIDATE,Transit,2015.0,K2,3960.0,0.438,,,4.844,8.63829,6.81,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201565013,EPIC 201565013.01,EPIC 201565013,K2,19,176.9920988,1.5102769,CANDIDATE,Transit,2015.0,K2,3987.0,0.5,,-0.44,,8.6381,15.99,,,,,536.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201565013,EPIC 201565013.01,EPIC 201565013,K2,4,176.9920988,1.5102769,CANDIDATE,Transit,2015.0,K2,,0.438,,,,8.63795,15.1,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201569483,EPIC 201569483.01,EPIC 201569483,K2,11,167.1711994,1.5774487,FALSE POSITIVE,Transit,2015.0,K2,4721.0,0.72,,,,5.7968861,24.2,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201569483,EPIC 201569483.01,EPIC 201569483,K2,5,167.1711994,1.5774487,FALSE POSITIVE,Transit,2015.0,K2,5192.0,0.79,,-0.09,,5.79687,27.81,,,,,930.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201577017,EPIC 201577017.01,EPIC 201577017,K2,0,174.6740618,1.690222,CANDIDATE,Transit,2019.0,K2,,0.522,,,,0.4775252,20.1,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201577112,EPIC 201577112.01,EPIC 201577112,K2,12,177.7087476,1.6919004,CANDIDATE,Transit,2016.0,K2,3508.0,0.4,,,,22.197992,5.34,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201577112,EPIC 201577112.01,EPIC 201577112,K2,9,177.7087476,1.6919004,CANDIDATE,Transit,2016.0,K2,,0.318,,,,44.394,4.07,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201588420,EPIC 201588420.01,EPIC 201588420,K2,9,170.9344032,1.8638671,CANDIDATE,Transit,2016.0,K2,,0.567,,,,3.29163,1.17,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201588420,EPIC 201588420.01,EPIC 201588420,K2,8,170.9344032,1.8638671,CANDIDATE,Transit,2016.0,K2,4671.0,0.72,,,,3.2908998,1.57,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201595106,EPIC 201595106 b,EPIC 201595106,K2,7,183.7203635,1.9681688,CONFIRMED,Transit,2021.0,K2,5820.0,0.93,,-0.01,4.6,0.877214,1.3,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
