Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Orbital Epoch Value,Epoch Uncertainty,Orbital Period (days) Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Planet Number,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Master,SG1a,SG1b,SG2,SG3,SG4,SG5,Alerted,Updated
spoc-s01-s69-b0A-PC,FAINT,340700241,2944.01,PC,116.9578758,-56.7643075,116.957847266,-56.7642753622,13.311,0.006,2967.1387228206854,0.0013015778,7.79254478205127,0.0001543297,2.9029880044961125,0.12926508,16339.534786253173,711.4892,"[7, 8, 9, 10, 34, 36, 61, 62, 63, 67]",found in faint-star QLP search; ~2000-3000 ppm secondary in SPOC s1-s65 at half phase,4.21,NaN,1,1.4467799663543701,0.0,25.447134632317944,12.128732,1164.1200250282993,6307.0,122.0,434.02229754595527,29.39024,False,3,4,3,3,4,4,4,2021-06-04 01:29:31.511770+00:00,2024-09-09 15:21:49.546000+00:00
qlp-s09-faintsearch,FAINT,437253811,2974.01,PC,169.9217639,-21.249784,169.921677719,-21.2497631291,13.081,0.008,1567.8616597,0.0032687,0.689421,0.0001702,1.233,0.257,3580.0,16.7824,[9],found in faint-star QLP search,NaN,NaN,1,2.6,NaN,16.3132,NaN,1828.0,5270.0,122.0,1853.96,14.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:37.189005+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,461136782,2970.01,PC,165.500672,-25.690599,165.500672,-25.690599,11.406,0.038,2299.8279946,0.0015775,4.420983,1.28e-05,4.083,0.214,3980.0,0.981967,"[9, 36]",found in faint-star QLP search,NaN,NaN,1,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,25.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:36.490504+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,34499178,2926.01,PC,146.8944293,-44.9389608,146.894352494,-44.9389234546,13.184,0.006,2303.1983094,0.0028352,2.4249041,1.87e-05,4.225,0.293,5630.0,3.93217,"[9, 35, 36]",found in faint-star QLP search,4.01,NaN,1,1.92,NaN,13.9253,NaN,2205.0,6632.0,122.0,3929.91,18.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:27.850147+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,3233861,2943.01,PC,138.8298372,-37.4105978,138.829696517,-37.4104878473,13.2,0.006,2279.0921248,0.0015219,0.7123317,2.1e-06,0.752,0.255,13070.0,916.542,"[8, 9, 35]",found in faint-star QLP search,4.34,NaN,1,0.98,NaN,13.7901,NaN,1287.0,4728.0,123.0,456.304,11.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:31.368664+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,3840990,2942.01,PC,139.8198615,-39.6882396,139.819822959,-39.6882397699,12.936,0.006,2303.8336257,0.0029723,3.525723,2.05e-05,4.582,0.323,4730.0,4.70306,"[8, 9, 35, 36]",found in faint-star QLP search,4.02,0.09,1,1.85,0.09,12.6783,0.756149,1849.0,6442.0,131.4,1943.53,18.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:31.145361+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,4729001,2941.01,PC,141.4247533,-41.7628175,141.424753321,-41.7628175167,12.686,0.006,2988.5633322543767,0.0011897882,0.7127815,1.2e-06,1.154,0.096,26500.0,20.1871,"[8, 9, 35, 36, 62]",found in faint-star QLP search; possible odd-even; v-shaped; Gaia DR2 Rstar ~0.9775 Rsun,NaN,NaN,1,0.98,0.09,16.3576,1.62054,1729.0,5625.4,268.8,1485.48,31.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:30.933939+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,5224772,2940.01,PC,142.330041,-37.471614,142.330001068,-37.4715665823,13.487,0.018,2301.079391,0.0012011,4.5991516,9.4e-06,3.113,0.098,23020.0,8.46337,"[8, 9, 35, 36]",found in faint-star QLP search,NaN,NaN,1,NaN,NaN,NaN,NaN,1042.0,5262.9,252.4,195.841,44.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:30.791487+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,44510874,2925.01,PC,145.4706952,-41.4836501,145.470604148,-41.4835999062,11.49,0.007,2302.5643506,0.0011891,1.5720089,4.7e-06,1.257,0.171,2730.0,4.01688,"[9, 35, 36]",found in faint-star QLP search,4.28,0.09,1,1.51,0.07,8.25698,0.514993,1647.0,7164.0,137.5,1224.0,19.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:27.644732+00:00,2024-08-22 15:41:09.420339+00:00
spoc-s01-s65-b0A-PC,FAINT,45048546,2924.01,PC,129.5660529,-54.0871433,129.565988668,-54.0870955664,12.147,0.006,2966.861077502932,0.0021668028,7.349834478385478,0.0003752502,4.029627930056402,0.18817364,5726.632942153819,236.75359,"[8, 9, 35, 36, 61, 63]",found in faint-star QLP search,4.31,0.09,1,1.3471499681472778,0.0596583,10.946559507723991,0.62000066,1175.1480187988116,6571.0,133.3,450.70387569166456,23.69528,False,3,4,3,3,4,4,4,2021-06-04 01:29:27.499940+00:00,2024-09-09 16:02:30.385000+00:00
qlp-s37-tois,FAINT,45299834,2923.01,PC,130.3130206,-59.0033941,130.312867232,-59.0033123069,12.852,0.006,3015.6229521950518,0.0015158427,4.3226285,1.02e-05,2.908,0.133,9090.0,2.01235,"[8, 9, 10, 35, 36, 37, 62, 63, 64]",found in faint-star QLP search,4.31,0.09,1,1.25,0.06,12.2227,0.618805,1246.0,6153.0,136.1,401.143,36.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:27.303062+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,5485318,2939.01,PC,149.7595139,-22.9467439,149.759484512,-22.9467597527,12.682,0.007,2273.9225147,0.0016128,4.8306667,1.41e-05,4.24,0.199,9790.0,3.20212,"[9, 35]",found in faint-star QLP search,4.26,0.09,1,1.44,0.08,14.4419,0.830412,1521.0,6567.0,131.4,889.049,31.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:30.590599+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,11417087,2938.01,PC,145.9359925,-25.544449,145.935850587,-25.5444118881,11.493,0.006,2272.9235595,0.0005248,4.942456,4.6e-06,2.504,0.085,16530.0,3.49659,"[8, 9, 35]",found in faint-star QLP search,4.49,0.08,1,0.92,0.05,12.1509,0.676713,957.0,5516.0,123.4,139.422,75.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:30.368471+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,36452991,2969.01,PC,150.0625484,-47.4452408,150.06262473,-47.4452435572,11.936,0.006,2303.3000829,0.0002778,1.8237148,8e-07,1.322,0.038,22920.0,2.67419,"[9, 10, 36]",V-shaped; found in faint-star QLP search,4.51,0.1,1,0.78,0.06,12.3326,0.963108,944.0,4581.0,128.1,131.939,142.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:36.286893+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,18794442,2937.01,PC,138.0552451,-33.8319916,138.055219955,-33.8319967584,13.421,0.006,2990.422760764301,0.004226674,2.0139493,1.42e-05,1.554,0.225,5820.0,2695.87,"[8, 9, 35, 62]",found in faint-star QLP search; v-shaped,4.11,NaN,1,1.56,NaN,23.9926,NaN,1900.0,6074.0,122.0,2165.86,10.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:30.225697+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,22020459,2936.01,EB,147.853642,-25.5939225,147.853628469,-25.5939128917,12.596,0.008,2988.4795825445185,0.0052641598,1.3328042,1e-05,2.75,0.284,1960.0,2.6188,"[8, 9, 35, 62]",found in faint-star QLP search,4.12,0.09,1,1.67,0.09,7.33432,0.496805,2422.0,6561.0,135.8,5718.54,14.0,False,5,5,5,5,5,5,5,2021-06-04 01:29:30.013969+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,45492609,2922.01,PC,148.5304167,-36.5333789,148.530377908,-36.5333314376,11.777,0.006,2303.7368269,0.0013447,1.3605223,4e-06,0.715,0.176,1440.0,10.4593,"[9, 35, 36]",found in faint-star QLP search,4.35,0.08,1,1.15,0.06,5.14347,0.48199,1190.0,5924.0,131.2,333.693,13.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:27.091309+00:00,2024-08-22 15:41:09.420339+00:00
spoc-s01-s65-b0A-PC,QLP,45655786,2809.01,PC,149.0348336,-38.0888717,149.034707747,-38.0888338308,10.909,0.006,2989.9886497528682,0.0006618982,3.1660848834105617,7.6169e-05,2.6922287139567107,0.05348491,5175.032068578258,78.0552,"[9, 35, 36, 62, 63]",found in s36 and also faint-star QLP search,NaN,NaN,1,1.3377000093460083,0.0,10.33340502695744,0.16223255,1403.2634401747885,6225.0,NaN,916.3847298416438,61.31363,False,3,4,3,3,4,4,4,2021-06-03 22:37:59.105158+00:00,2024-01-16 20:44:00.003000+00:00
qlp-s37-tois,FAINT,45896295,2921.01,PC,131.4982564,-57.9706346,131.498215957,-57.9706334986,12.885,0.006,2331.5056927,0.0009394,3.0044799,5.6e-06,3.19,0.11,11000.0,2.11167,"[8, 9, 10, 35, 36, 37]",found in faint-star QLP search; CTOI from Olmschenk et al. (2021),4.34,0.09,1,1.25,0.06,13.4546,0.635962,1596.0,6302.0,128.3,1078.67,49.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.957132+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,24837152,2935.01,PC,142.271348,-34.7648032,142.271233581,-34.7647750719,13.458,0.006,2278.9432317,0.0025453,5.5698287,2.33e-05,2.234,0.22,11620.0,11.7421,"[8, 9, 35]",found in faint-star QLP search,4.28,NaN,1,1.22,NaN,13.1629,NaN,910.0,5751.6,84.7,113.909,17.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:29.663070+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,48210046,2920.01,PC,148.0436277,-34.6377753,148.043560935,-34.6377806094,12.821,0.006,2300.9728965,0.0006698,3.2003149,4.1e-06,2.847,0.093,16320.0,3.40467,"[9, 35, 36]",found in faint-star QLP search,4.2,0.09,1,1.4,0.08,18.204,1.10709,1393.0,6060.0,129.8,626.171,68.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.746414+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s36-tois,FAINT,74274839,2919.01,PC,137.2615102,-44.6944865,137.261531192,-44.6944600764,12.592,0.006,2298.6803533,0.0009828,4.6957057,9.7e-06,2.633,0.083,13800.0,6.06038,"[8, 9, 35, 36]",found in faint-star QLP search; CTOI from Olmschenk et al. (2021),4.53,0.08,1,0.89,0.05,10.543,0.609663,999.0,5475.0,128.0,165.667,40.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:26.604923+00:00,2024-08-22 15:41:09.420339+00:00
qlp-s09-faintsearch,FAINT,28945511,2934.01,PC,132.4646875,-43.2858214,132.46453749,-43.2858165421,12.802,0.006,2278.6836838,0.0036219,1.1239749,6.2e-06,1.011,0.201,2190.0,12.3574,"[8, 9, 35]",found in faint-star QLP search,4.56,0.08,1,0.95,0.04,5.17993,0.436021,1530.0,6220.0,130.8,910.705,9.0,False,3,4,3,3,4,4,4,2021-06-04 01:29:29.340081+00:00,2024-08-22 15:41:09.420339+00:00
