target_id,tic_id,toi_number,source_mission,sector,ra_deg,dec_deg,ra_str,dec_str,tfopwg_disposition,stellar_teff_k,stellar_radius_rsun,stellar_tmag,stellar_distance_pc,planet_period_days_measured,transit_depth_ppm_measured,transit_duration_hours_measured,planet_radius_rearth,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
TIC_112395568,112395568,1053.01,TESS,21,290.977117,-33.351416,19h23m54.51s,-33d21m05.1s,FP,5664.0,3.86959,8.8849,263.729,5.742625,1105.760867,2.860293,13.088532,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_366989877,366989877,1054.01,TESS,52,302.114174,-54.317501,20h08m27.4s,-54d19m03s,CP,6122.0,1.17,8.4362,88.4343,15.5077855,513.0,4.565,2.43432,88.0718,853.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_320004517,320004517,1055.01,TESS,7,293.286615,-54.532728,19h33m08.79s,-54d31m57.82s,CP,5783.54,0.974669,8.0888,57.2651,17.4713078,1199.7541483,4.4284819,3.5766828,53.3700317,689.3568807,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_421894914,421894914,1056.01,TESS,24,339.258703,-76.917605,22h37m02.09s,-76d55m03.38s,PC,6124.3,1.36963,9.6663,168.354,5.3079507,391.3830934,3.2158594,3.0486928,603.2401116,1263.9861129,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_323132914,323132914,1057.01,TESS,40,127.996917,-78.407564,08h31m59.26s,-78d24m27.23s,PC,5599.0,0.943356,9.4091,98.2855,51.1701501,851.4547808,6.6641048,2.9366826,11.2148229,466.7322968,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_31553893,31553893,1058.01,TESS,17,288.911772,-31.790813,19h15m38.83s,-31d47m26.93s,PC,5785.0,3.4475601,9.3781,338.831,11.1296441,951.6169809,7.0473822,12.8402271,1255.6817164,1518.2372485,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_380783252,380783252,1059.01,TESS,43,269.714503,-60.922727,17h58m51.48s,-60d55m21.82s,PC,5509.0,0.94,9.7825,98.8783,9.4496506,19750.0,2.021,17.0216,38.5799,694.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_38846515,38846515,106.01,TESS,35,68.959816,-64.027039,04h35m50.36s,-64d01m37.34s,KP,6900.0,1.77,10.3157,364.411,2.8493825,8049.0,3.567,16.3869,2005.83,1864.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_101230735,101230735,1060.01,TESS,45,299.290995,-48.934476,19h57m09.84s,-48d56m04.11s,APC,5687.9,1.14,9.6652,128.491,2.0685633,502.0,0.373,3.89739,24.409,619.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_253990973,253990973,1061.01,TESS,18,284.688908,-41.242483,18h58m45.34s,-41d14m32.94s,FP,5525.0,1.21935,9.7345,133.171,0.540933,257.347459,1.674337,2.28501,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_299799658,299799658,1062.01,TESS,61,38.120968,-78.023683,02h32m29.03s,-78d01m25.26s,CP,5394.0,0.89,9.478,82.1733,4.1150576,487.0,1.08,2.30057,77.3573,826.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_406976746,406976746,1063.01,TESS,68,230.555493,-83.056214,15h22m13.32s,-83d03m22.37s,PC,5552.0,0.791742,9.0689,61.1201,10.0665238,839.9044871,2.4023189,2.7272824,54.8791715,694.1792631,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_79748331,79748331,1064.01,TESS,7,296.003935,-47.56203,19h44m00.94s,-47d33m43.31s,CP,4803.0,0.737189,10.0059,68.0726,6.4438657,1121.9512275,1.9309449,2.460344,60.831305,712.2812841,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_79748331,79748331,1064.02,TESS,32,296.003935,-47.56203,19h44m00.94s,-47d33m43.31s,CP,4803.0,0.737189,10.0059,68.0726,12.2265595,1206.3693293,2.1904379,2.6014766,25.8970378,575.3502049,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_7088246,7088246,1065.01,TESS,46,286.36675,-50.06735,19h05m28.02s,-50d04m02.46s,KP,5780.0,1.2,13.2851,639.004,2.160344,19357.992992,1.828854,22.503541,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_201604954,201604954,1066.01,TESS,50,285.096517,-54.893341,19h00m23.16s,-54d53m36.03s,KP,5670.0,1.07,11.9707,353.891,4.606184,13793.034867,3.121643,12.962219,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_201642601,201642601,1067.01,TESS,57,288.672005,-59.57935,19h14m41.28s,-59d34m45.66s,KP,4351.0,0.76701,13.1686,263.609,3.1316735,14915.6943722,2.4579197,9.4995191,148.6544991,890.5622134,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_6663331,6663331,1068.01,TESS,49,284.399762,-49.138513,18h57m35.94s,-49d08m18.65s,KP,5498.0,0.92,13.2887,535.383,3.180362,21192.463324,2.111521,13.446487,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_31858843,31858843,1069.01,TESS,57,289.479212,-32.860124,19h17m55.01s,-32d51m36.45s,KP,5703.0,1.22,10.4293,197.996,2.9776446,13022.0,2.962,14.4339,758.324,1461.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_92352620,92352620,107.01,TESS,2,313.783239,-34.135751,20h55m07.98s,-34d08m08.7s,KP,6153.0,1.71,9.6433,211.211,3.9502008,13914.0,4.444,20.5357,1009.38,1570.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_31858844,31858844,1070.01,TESS,12,289.478541,-32.861327,19h17m54.85s,-32d51m40.78s,FP,5740.0,1.28,15.7114,,2.9776152,43218.111683,3.25697,26.88423,873.27,1386.5,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_120247528,120247528,1071.01,TESS,47,280.184169,-58.459388,18h40m44.2s,-58d27m33.8s,KP,5639.0,1.11499,11.5803,290.198,3.5544026,10164.8753396,2.0550535,13.200677,515.0014435,1214.9876435,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_140830390,140830390,1072.01,TESS,44,75.627307,-72.913998,05h02m30.55s,-72d54m50.39s,FP,5765.0,2.4494,11.7106,703.878,12.8379689,10539.0192794,9.8464123,25.4886382,374.129,1225.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_158297421,158297421,1073.01,TESS,63,287.484402,-49.664942,19h09m56.26s,-49d39m53.79s,CP,4444.0,0.6983,13.6699,300.67,3.9228016,31510.9004906,1.8736007,13.3368705,91.167589,788.0973496,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_327301957,327301957,1074.01,TESS,47,310.761004,-72.010267,20h43m02.64s,-72d00m36.96s,PC,5206.0,0.741671,10.6339,107.356,13.9428705,1015.395543,3.7522756,2.4233421,28.0927293,587.1759148,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_351601843,351601843,1075.01,TESS,60,309.971209,-65.449699,20h39m53.09s,-65d26m58.92s,CP,4046.0,0.580337,11.1186,61.4592,0.6047392,1027.6833479,1.0403847,1.8625587,528.0253155,1222.5973095,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_360742636,360742636,1076.01,TESS,4,294.633694,-55.330269,19h38m32.09s,-55d19m48.97s,KP,5659.0,1.03997,11.2474,248.46,2.5495611,14921.4021936,2.6173308,12.9171288,757.1284067,1337.8645148,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_369960846,369960846,1077.01,TESS,1,173.810798,-88.096213,11h35m14.59s,-88d05m46.37s,PC,5192.0,0.984326,13.461,463.683,1.6062693,16725.3019333,1.9561305,12.6436029,844.2700581,1374.8018137,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_370133522,370133522,1078.01,TESS,51,306.928646,-56.462287,20h27m42.88s,-56d27m44.23s,CP,3325.0,0.390989,10.1165,20.373,0.5182425,831.8920424,0.8565249,1.3485121,255.1405815,1019.3295979,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_379240073,379240073,1079.01,TESS,46,283.119492,-55.387928,18h52m28.68s,-55d23m16.54s,PC,6519.0,1.7234,13.1284,1179.27,3.1644075,5603.4635466,2.0576293,14.8814743,2206.1550476,1747.9490013,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_289793076,289793076,108.01,TESS,66,316.96148,-26.09672,21h07m50.76s,-26d05m48.19s,KP,5523.0,0.809868,13.163,421.855,3.0440541,22236.0165376,2.5984575,12.1086799,315.9871326,1075.3184542,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_161032923,161032923,1080.01,TESS,67,276.368325,-52.214573,18h25m28.4s,-52d12m52.46s,PC,3296.0,0.199988,12.7067,25.559,3.9652485,3680.7544436,1.0112593,1.2305102,5.2829448,386.6684768,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_253728991,253728991,1081.01,TESS,54,282.140409,-40.11177,18h48m33.7s,-40d06m42.37s,PC,6027.0,1.23975,11.5247,354.05,2.98278,6136.231662,3.109528,11.467011,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_261108236,261108236,1082.01,TESS,16,83.275809,-80.815478,05h33m06.19s,-80d48m55.72s,PC,4310.0,0.649613,11.8835,100.248,16.3469053,2212.4257252,3.5865698,3.5059571,8.9995944,441.7489067,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_322270620,322270620,1083.01,TESS,2,296.822194,-87.32281,19h47m17.33s,-87d19m22.12s,PC,3614.0,0.491323,12.0936,68.9109,12.9802953,2407.2608671,2.5034417,2.4241912,4.7341229,376.2093904,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_380589029,380589029,1084.01,TESS,16,268.890707,-61.7474,17h55m33.77s,-61d44m50.64s,KP,6346.0,1.14759,12.2851,494.182,1.3484961,18463.7636682,2.4074261,15.8824638,2706.9606225,1839.6713042,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_381979901,381979901,1085.01,TESS,30,77.605399,-59.535664,05h10m25.3s,-59d32m08.39s,APC,6102.0,1.28,11.6577,444.066,3.2541181,13620.0,4.341,14.9476,1436.45,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_468148930,468148930,1086.01,TESS,5,305.56982,-88.568495,20h22m16.76s,-88d34m06.58s,PC,5818.0,2.0840001,12.2303,736.397,3.7178828,4864.8405125,5.5277827,14.6986197,1925.1426172,1689.4116185,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_426077080,426077080,1087.01,TESS,33,238.001011,-76.49349,15h52m00.24s,-76d29m36.56s,FP,6907.0,3.09,9.4142,416.25,9.30992,2220.0,3.464,14.2968,215.208,1067.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_343648136,343648136,1088.01,TESS,3,272.311383,-76.300955,18h09m14.73s,-76d18m03.44s,FA,6093.0,1.4,10.4613,240.901,1.15395,1550.0,2.236,5.48364,3534.3,2148.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_129319156,129319156,1089.01,TESS,25,228.84306,-52.885989,15h15m22.33s,-52d53m09.56s,FP,11600.0,2.48,10.3918,778.127,4.73703,2410.0,3.902,25.7144,53821.0,4243.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_29344935,29344935,109.01,TESS,64,313.215475,-25.687376,20h52m51.71s,-25d41m14.55s,KP,5346.0,0.984866,13.2366,513.011,2.76676,14947.4387827,2.6872178,12.2867389,505.8840075,1209.5741229,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_361034196,361034196,1090.01,TESS,62,242.016315,-68.588832,16h08m03.92s,-68d35m19.8s,FP,7009.8,2.95,10.0196,566.502,2.19296,4933.74,4.586,22.7769,31883.5,3722.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_193413306,193413306,1091.01,TESS,44,222.101134,-56.025931,14h48m24.27s,-56d01m33.35s,PC,7348.0,2.39,9.3529,321.671,1.725841,2710.0,3.674,15.0024,50469.2,4175.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_387079085,387079085,1092.01,TESS,9,217.022882,-64.634285,14h28m05.49s,-64d38m03.43s,FP,6534.0,2.04,9.0039,209.919,1.1923,3730.0,3.119,30.666,40771.2,3958.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_382331352,382331352,1093.01,TESS,44,215.805264,-63.045983,14h23m13.26s,-63d02m45.54s,FP,,,10.0067,1710.22,11.47606,3050.0,6.083,,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_136274063,136274063,1094.01,TESS,64,230.498827,-53.819601,15h21m59.72s,-53d49m10.56s,APC,7710.0,2.28,9.9806,426.003,0.5971314,910.0,0.468,9.08382,1596.43,1760.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_375223080,375223080,1095.01,TESS,14,133.968965,-75.926187,08h55m52.55s,-75d55m34.27s,PC,7066.0,2.6647301,10.4291,582.521,1.4821386,2102.6568299,2.1867078,13.7339261,18197.1354531,2962.2418039,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_375225453,375225453,1096.01,TESS,7,133.826684,-73.173308,08h55m18.4s,-73d10m23.91s,FP,6553.0,2.8908899,10.11,490.288,0.9209526,360.8801529,1.8602735,5.7349089,32740.3629399,3430.7622437,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_360630575,360630575,1097.01,TESS,17,189.775859,-74.57402,12h39m06.21s,-74d34m26.47s,CP,5876.0,0.98,8.7215,79.5561,9.188506,460.0,2.492,2.16591,63.4589,786.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_360630575,360630575,1097.02,TESS,45,189.775859,-74.57402,12h39m06.21s,-74d34m26.47s,CP,5876.0,0.983215,8.7215,79.5561,13.9028391,647.2701039,2.1264429,2.6136848,77.4841883,756.6987586,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_383390264,383390264,1098.01,TESS,16,192.589285,-88.121111,12h50m21.43s,-88d07m16s,CP,6153.0,1.14582,8.7581,105.096,10.1826983,667.4752458,2.8275109,3.0538057,198.394783,957.1991659,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_290348383,290348383,1099.01,TESS,24,328.718171,-77.338802,21h54m52.36s,-77d20m19.69s,CP,4867.0,0.8,7.3661,23.606,6.441006,914.0,1.812,2.56374,87.8902,853.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_281459670,281459670,110.01,TESS,39,5.618525,-59.942589,00h22m28.45s,-59d56m33.32s,KP,5943.0,1.15706,11.6714,342.14,3.1743504,15457.3247576,2.751086,14.9172256,718.9096994,1320.6518234,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_318608749,318608749,1100.01,TESS,27,9.126138,-83.567067,00h36m30.27s,-83d34m01.44s,FP,6033.0,1.14849,10.5135,205.43,20.0731588,1152.9645461,3.8449215,4.0506906,69.3993155,736.1368293,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_271581073,271581073,1101.01,TESS,43,319.551469,-77.529113,21h18m12.35s,-77d31m44.81s,FP,5803.5,1.56,10.5891,262.794,2.66903,3110.0,1.548,9.36823,429.86,1268.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_311890977,311890977,1102.01,TESS,6,263.003209,-76.858265,17h32m00.77s,-76d51m29.75s,FP,4138.1,0.63,10.5652,58.0624,6.63371,1555.34,2.122,2.75375,22.9987,610.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_351603103,351603103,1103.01,TESS,22,310.086743,-63.789963,20h40m20.82s,-63d47m23.87s,PC,4437.0,3.13,10.5598,320.212,2.94308,4490.0,4.073,45.3525,2533.34,1976.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_451599528,451599528,1104.01,TESS,1,279.721286,-85.709137,18h38m53.11s,-85d42m32.89s,FP,6058.6,1.39203,7.5622,70.0154,341.2811281,972.5797241,6.303026,4.7531892,121.1597998,846.173434,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_274151135,274151135,1105.01,TESS,38,146.053969,-89.471513,09h44m12.95s,-89d28m17.45s,PC,4664.0,0.76,10.2809,79.5225,10.8680523,1553.0,2.375,2.90726,20.7383,594.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_384513078,384513078,1106.01,TESS,61,253.110033,-79.135182,16h52m26.41s,-79d08m06.66s,PC,5042.0,4.94,10.0717,523.425,11.1149,900.0,2.26,14.7645,21.9713,603.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_394561119,394561119,1107.01,TESS,28,155.607863,-82.218869,10h22m25.89s,-82d13m07.93s,CP,6501.0,1.74836,10.0068,281.314,4.0782392,6046.6959687,4.8475616,13.898174,1619.0081232,1617.8267296,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_295599256,295599256,1108.01,TESS,26,274.221618,-68.197779,18h16m53.19s,-68d11m52s,FP,7860.0,1.91,9.941,417.08,7.14386,11146.4,1.467,22.1531,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_50309953,50309953,1109.01,TESS,5,30.198486,-77.610376,02h00m47.64s,-77d36m37.35s,FP,5317.0,0.91,9.7906,102.238,7.04083,1580.0,2.979,8.46404,852.336,1505.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
