tic_id,sector_run
2236015,71-71
2236015,73-73
2236662,19-19
2236662,43-43
2236662,44-44
2236662,45-45
2333933,43-43
2333933,45-45
2334836,19-19
2334836,43-43
2334836,45-45
2334836,59-59
2334836,71-71
2334836,73-73
2334836,44-44
2347838,35-35
2347838,62-62
2353789,8-8
2353789,35-35
2353789,61-61
2353789,62-62
2372579,27-27
2372579,13-13
2372796,27-27
2372796,13-13
2429093,19-19
2429093,43-43
2429093,44-44
2429093,45-45
2433753,19-19
2433753,43-43
2433753,44-44
2433753,45-45
2434608,19-19
2505046,43-43
2505046,44-44
2505046,71-71
2505046,73-73
2505046,45-45
2505046,19-19
2505046,59-59
2507547,19-19
2507547,43-43
2507547,44-44
2507547,45-45
2507547,59-59
2507547,71-71
2507547,73-73
2527981,27-27
2593217,19-19
2593217,43-43
2593217,44-44
2593217,45-45
2593217,59-59
2593217,71-71
2593217,73-73
2595273,19-19
2595273,43-43
2595273,44-44
2595273,45-45
2595273,71-71
2595273,73-73
2595273,59-59
2601692,43-43
2601692,44-44
2601692,45-45
2669681,27-27
2669681,13-13
2748551,12-12
2758565,29-29
2758565,2-2
2758565,69-69
2760219,29-29
2760219,2-2
2760219,69-69
2760710,29-29
2760710,2-2
2760710,69-69
2761086,29-29
2761086,2-2
2761086,69-69
2761086,70-70
2761472,29-29
2761472,2-2
2761472,42-42
2761472,69-69
2761472,70-70
2761545,29-29
2761545,2-2
2761545,42-42
2761545,70-70
2761545,69-69
2762118,29-29
2762118,2-2
2762118,69-69
2778003,19-19
2778003,43-43
2778003,44-44
2778003,45-45
2778003,59-59
2778003,71-71
2778003,73-73
2778144,43-43
2778144,44-44
2778144,45-45
2778144,59-59
2778144,71-71
2778144,73-73
2778177,43-43
2778177,44-44
2778177,45-45
2778177,59-59
2778177,71-71
2778177,73-73
2801046,54-54
2852467,19-19
2852467,43-43
2852467,44-44
2852467,45-45
2853085,19-19
2853085,44-44
2853085,45-45
2857009,43-43
2857009,44-44
2857009,45-45
2857009,71-71
2857009,73-73
